ad-name;target;Hypothesis 1;Hypothesis 2;Hypothesis 3;Teaser;English;French;video;campaign 1;campaign 2;campaign 3;initial exposure;returning after interaction;returning after video;entrepreneur (audience);Cost;Impressions;Post shares;Post reactions;Post comments;Link clicks;Post engagements;Landing page views;Three-second video views;Video watches at 50%;Video watches at 75%;Video watches at 95%;Video watches at 100%
what_is_pivot-anie_rouleau-h2-video-natif-en;int-entrepreneur-can-all-25-34;0;28;0;0;0;42;31;1;0;0;1;0;0;5;8.01;1538;0;0;0;0;278;0;278;72;50;42;38
what_is_pivot-annonce_pivot-1-video-natif-en;int-entrepreneur-can-all-25-34;0;0;0;15;0;42;31;1;0;0;1;0;0;5;8.21;2037;0;0;0;3;262;0;259;84;64;49;49
what_is_pivot-bill_spenceley-h3-video-natif-en;int-entrepreneur-can-all-25-34;0;0;30;0;0;44;33;1;0;0;1;0;0;5;8.42;1277;0;0;0;1;273;1;272;98;72;62;61
what_is_pivot-lil_macpherson-h1-video-natif-en;int-entrepreneur-can-all-25-34;30;0;0;0;0;44;33;1;0;0;1;0;0;5;39.48;6040;1;2;0;7;2171;4;2161;520;271;197;185
what_is_pivot-matt_jamieson-h1-video-natif-en;int-entrepreneur-can-all-25-34;29;0;0;0;0;43;32;1;0;0;1;0;0;5;21.13;4445;0;0;0;2;969;2;967;272;178;145;139
what_is_pivot-mike_beamish-h2-video-natif-en;int-entrepreneur-can-all-25-34;0;28;0;0;0;42;31;1;0;0;1;0;0;5;17.26;3156;0;0;0;5;768;2;763;202;109;79;74
what_is_pivot-naomie_caron-h3-video-natif-en;int-entrepreneur-can-all-25-34;0;0;28;0;0;42;31;1;0;0;1;0;0;5;6.37;1260;0;0;0;2;255;1;253;67;49;38;35
what_is_pivot-natalie_voland-h2-video-natif-en;int-entrepreneur-can-all-25-34;0;30;0;0;0;44;33;1;0;0;1;0;0;5;2.94;561;0;0;0;0;131;0;131;42;30;27;25
what_is_pivot-paul_rak-h1-video-natif-en;int-entrepreneur-can-all-25-34;24;0;0;0;0;38;27;1;0;0;1;0;0;5;170.57;30530;0;5;0;39;9120;17;9076;2287;1205;846;788
what_is_pivot-thompson_tran-h1-video-natif-en;int-entrepreneur-can-all-25-34;29;0;0;0;0;43;32;1;0;0;1;0;0;5;15.7;2651;0;0;0;1;530;0;529;138;99;80;77
what_is_pivot-anie_rouleau-h2-video-natif-en;int-entrepreneur-can-all-35-44;0;28;0;0;0;42;31;1;0;0;1;0;0;5;4.93;1217;0;0;0;0;266;0;266;70;46;32;29
what_is_pivot-annonce_pivot-1-video-natif-en;int-entrepreneur-can-all-35-44;0;0;0;15;0;42;31;1;0;0;1;0;0;5;12.67;3511;0;0;0;3;557;0;554;139;85;70;69
what_is_pivot-bill_spenceley-h3-video-natif-en;int-entrepreneur-can-all-35-44;0;0;30;0;0;44;33;1;0;0;1;0;0;5;6.1;1157;0;0;0;1;261;0;260;70;48;36;33
what_is_pivot-lil_macpherson-h1-video-natif-en;int-entrepreneur-can-all-35-44;30;0;0;0;0;44;33;1;0;0;1;0;0;5;38.22;6007;0;0;0;11;2497;7;2486;576;314;206;189
what_is_pivot-matt_jamieson-h1-video-natif-en;int-entrepreneur-can-all-35-44;29;0;0;0;0;43;32;1;0;0;1;0;0;5;15.82;3738;0;1;0;2;1044;1;1041;250;145;101;90
what_is_pivot-mike_beamish-h2-video-natif-en;int-entrepreneur-can-all-35-44;0;28;0;0;0;42;31;1;0;0;1;0;0;5;12.53;2705;0;1;0;1;730;1;728;183;96;80;70
what_is_pivot-naomie_caron-h3-video-natif-en;int-entrepreneur-can-all-35-44;0;0;28;0;0;42;31;1;0;0;1;0;0;5;7.4;1739;0;0;0;2;408;1;406;107;72;58;53
what_is_pivot-natalie_voland-h2-video-natif-en;int-entrepreneur-can-all-35-44;0;30;0;0;0;44;33;1;0;0;1;0;0;5;2.14;500;0;0;0;1;117;0;116;28;20;14;14
what_is_pivot-paul_rak-h1-video-natif-en;int-entrepreneur-can-all-35-44;24;0;0;0;0;38;27;1;0;0;1;0;0;5;184.5;35467;0;5;0;45;12087;20;12036;2890;1434;963;886
what_is_pivot-thompson_tran-h1-video-natif-en;int-entrepreneur-can-all-35-44;29;0;0;0;0;43;32;1;0;0;1;0;0;5;13.77;2848;0;0;0;2;625;1;623;148;85;72;67
what_is_pivot-anie_rouleau-h2-video-natif-en;int-entrepreneur-can-all-45-54;0;28;0;0;0;42;31;1;0;0;1;0;0;5;3.09;841;0;0;0;1;200;0;199;50;32;23;20
what_is_pivot-annonce_pivot-1-video-natif-en;int-entrepreneur-can-all-45-54;0;0;0;15;0;42;31;1;0;0;1;0;0;5;18.4;5220;0;0;0;3;848;0;845;201;128;101;91
what_is_pivot-bill_spenceley-h3-video-natif-en;int-entrepreneur-can-all-45-54;0;0;30;0;0;44;33;1;0;0;1;0;0;5;3.3;672;0;0;0;1;164;0;163;35;25;18;16
what_is_pivot-lil_macpherson-h1-video-natif-en;int-entrepreneur-can-all-45-54;30;0;0;0;0;44;33;1;0;0;1;0;0;5;38.85;6156;1;3;1;8;2899;4;2886;661;336;247;228
what_is_pivot-matt_jamieson-h1-video-natif-en;int-entrepreneur-can-all-45-54;29;0;0;0;0;43;32;1;0;0;1;0;0;5;7.55;1920;0;1;0;1;560;0;558;118;78;54;45
what_is_pivot-mike_beamish-h2-video-natif-en;int-entrepreneur-can-all-45-54;0;28;0;0;0;42;31;1;0;0;1;0;0;5;14.08;2950;0;1;0;2;950;1;947;225;127;96;86
what_is_pivot-naomie_caron-h3-video-natif-en;int-entrepreneur-can-all-45-54;0;0;28;0;0;42;31;1;0;0;1;0;0;5;7.7;1741;0;0;0;1;465;1;464;109;74;53;49
what_is_pivot-natalie_voland-h2-video-natif-en;int-entrepreneur-can-all-45-54;0;30;0;0;0;44;33;1;0;0;1;0;0;5;1.1;288;0;0;0;0;83;0;83;23;15;13;11
what_is_pivot-paul_rak-h1-video-natif-en;int-entrepreneur-can-all-45-54;24;0;0;0;0;38;27;1;0;0;1;0;0;5;196.16;34732;2;12;0;60;14048;28;13973;3695;1867;1220;1113
